timestamp,temperature,humidity,pressure_hi,pressure_lo,gas_hi,gas_lo,wind_speed,wind_direction,motor_voltage,motor_current,motor_power_raw,motor_control
2026-07-30 15:32:50,3391,5173,1,34187,1,34187,1,34187,10,8,94,1
2026-07-30 15:32:52,3391,5173,1,34187,1,34187,1,34187,10,7,78,1
2026-07-30 15:32:55,3391,5173,1,34187,1,34187,1,34187,10,8,86,1
2026-07-30 15:32:57,3391,5173,1,34187,1,34187,1,34187,10,10,113,1
2026-07-30 15:32:59,3391,5173,1,34187,1,34187,1,34187,10,7,77,1
2026-07-30 15:33:02,3391,5173,1,34187,1,34187,1,34187,10,10,117,1
2026-07-30 15:33:04,3391,5173,1,34187,1,34187,1,34187,10,7,83,1
2026-07-30 15:33:06,3391,5173,1,34187,1,34187,1,34187,10,8,88,1
2026-07-30 15:33:08,3391,5173,1,34187,1,34187,1,34187,10,11,124,1
2026-07-30 15:33:11,3391,5173,1,34187,1,34187,1,34187,10,8,89,1
2026-07-30 15:33:13,3391,5173,1,34187,1,34187,1,34187,10,7,80,1
2026-07-30 15:33:15,3391,5173,1,34187,1,34187,1,34187,10,10,116,1
2026-07-30 15:33:17,3391,5173,1,34187,1,34187,1,34187,10,11,121,1
2026-07-30 15:33:19,3391,5173,1,34187,1,34187,1,34187,10,10,105,1
2026-07-30 15:33:22,3391,5173,1,34187,1,34187,1,34187,10,7,80,1
2026-07-30 15:33:24,3391,5173,1,34187,1,34187,1,34187,10,8,85,1
2026-07-30 15:33:26,3391,5173,1,34187,1,34187,1,34187,10,8,92,1
2026-07-30 15:33:28,3391,5173,1,34187,1,34187,1,34187,10,7,74,1
2026-07-30 15:33:31,3391,5173,1,34187,1,34187,1,34187,10,9,96,1
2026-07-30 15:33:33,3391,5173,1,34187,1,34187,1,34187,10,10,118,1
2026-07-30 15:33:35,3391,5173,1,34187,1,34187,1,34187,10,11,119,1
2026-07-30 15:33:37,3391,5173,1,34187,1,34187,1,34187,10,11,120,1
2026-07-30 15:33:39,3391,5173,1,34187,1,34187,1,34187,10,10,111,1
2026-07-30 15:33:42,3391,5173,1,34187,1,34187,1,34187,10,11,115,1
2026-07-30 15:33:44,3391,5173,1,34187,1,34187,1,34187,10,7,79,1
2026-07-30 15:33:46,3391,5173,1,34187,1,34187,1,34187,10,9,90,1
2026-07-30 15:33:48,3391,5173,1,34187,1,34187,1,34187,10,11,118,1
2026-07-30 15:33:51,3391,5173,1,34187,1,34187,1,34187,10,11,122,1
2026-07-30 15:33:53,3391,5173,1,34187,1,34187,1,34187,10,8,89,1
2026-07-30 15:33:55,3391,5173,1,34187,1,34187,1,34187,10,11,123,1
2026-07-30 15:33:57,3391,5173,1,34187,1,34187,1,34187,10,11,119,1
2026-07-30 15:33:59,3391,5173,1,34187,1,34187,1,34187,10,9,104,1
2026-07-30 15:34:02,3391,5173,1,34187,1,34187,1,34187,10,11,119,1
2026-07-30 15:34:04,3391,5173,1,34187,1,34187,1,34187,10,7,78,1
2026-07-30 15:34:06,3391,5173,1,34187,1,34187,1,34187,10,7,77,1
2026-07-30 15:34:08,3391,5173,1,34187,1,34187,1,34187,10,10,114,1
2026-07-30 15:34:10,3391,5173,1,34187,1,34187,1,34187,10,8,89,1
2026-07-30 15:34:14,3391,5173,1,34187,1,34187,1,34187,10,7,82,1
2026-07-30 15:34:16,3391,5173,1,34187,1,34187,1,34187,10,10,108,1
2026-07-30 15:34:18,3391,5173,1,34187,1,34187,1,34187,10,8,92,1
2026-07-30 15:34:20,3391,5173,1,34187,1,34187,1,34187,10,11,124,1
